metric,method_code,identity_bin_percent,n_released_designs,design_ids,n_visible_markers,experimental_mean,experimental_median,experimental_min,experimental_max,assignment_level,individual_design_assignment_identifiable,note
yield_mg_L,m3,73.755656,7,hyperTEV67;hyperTEV81;hyperTEV85;hyperTEV86;hyperTEV89;hyperTEV93;hyperTEV95,6,21.396370716170498,20.80877742946708,15.041055718475077,28.272727272727273,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m3,74.208145,3,hyperTEV73;hyperTEV77;hyperTEV79,2,22.41428571428572,22.41428571428572,20.036363636363646,24.792207792207797,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m3,74.660633,4,hyperTEV52;hyperTEV62;hyperTEV80;hyperTEV94,3,23.092286105228293,23.151515151515138,17.25931445603576,28.86602870813398,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m4,81.447964,1,hyperTEV134,2,11.119104639652587,11.119104639652587,4.794871794871804,17.44333748443337,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m4,81.900452,2,hyperTEV105;hyperTEV142,0,,,,,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m4,82.352941,8,hyperTEV98;hyperTEV101;hyperTEV103;hyperTEV115;hyperTEV118;hyperTEV124;hyperTEV135;hyperTEV139,3,4.4508177008177,1.8080808080807897,0.5670995670995829,10.977272727272727,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m4,82.80543,12,hyperTEV100;hyperTEV102;hyperTEV110;hyperTEV114;hyperTEV119;hyperTEV121;hyperTEV129;hyperTEV130;hyperTEV131;hyperTEV133;hyperTEV141;hyperTEV143,7,10.656285649645966,9.412698412698402,2.929618768328427,21.838709677419335,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m4,83.257919,8,hyperTEV99;hyperTEV107;hyperTEV117;hyperTEV122;hyperTEV126;hyperTEV127;hyperTEV132;hyperTEV138,2,11.74057476170151,11.74057476170151,8.020202020202015,15.460947503201004,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m4,83.710407,8,hyperTEV104;hyperTEV106;hyperTEV109;hyperTEV112;hyperTEV120;hyperTEV128;hyperTEV136;hyperTEV137,4,9.28157161234991,8.886363636363637,1.9331046312178264,17.420454545454547,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m4,84.162896,4,hyperTEV97;hyperTEV123;hyperTEV125;hyperTEV140,3,7.243902439024389,7.186252771618621,3.969696969696956,10.57575757575759,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m4,84.615385,4,hyperTEV108;hyperTEV111;hyperTEV113;hyperTEV144,5,8.703653279861069,8.903525046382212,1.0606060606060468,15.972451790633592,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
yield_mg_L,m4,85.067873,1,hyperTEV116,1,2.7611940298507265,2.7611940298507265,2.7611940298507265,2.7611940298507265,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m1,55.20362,2,hyperTEV11;hyperTEV22,1,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m1,55.656109,1,hyperTEV18,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m1,56.108597,1,hyperTEV34,1,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m1,56.561086,4,hyperTEV6;hyperTEV8;hyperTEV20;hyperTEV28,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m1,57.013575,2,hyperTEV31;hyperTEV33,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m1,57.466063,4,hyperTEV10;hyperTEV15;hyperTEV26;hyperTEV40,1,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m1,57.918552,3,hyperTEV5;hyperTEV23;hyperTEV25,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m1,58.371041,2,hyperTEV29;hyperTEV44,1,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m1,59.276018,3,hyperTEV1;hyperTEV37;hyperTEV42,1,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m1,59.728507,2,hyperTEV35;hyperTEV38,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m2,62.443439,1,hyperTEV45,1,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m2,62.895928,3,hyperTEV9;hyperTEV17;hyperTEV41,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m2,63.348416,2,hyperTEV27;hyperTEV39,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m2,63.800905,3,hyperTEV3;hyperTEV24;hyperTEV36,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m2,64.253394,2,hyperTEV2;hyperTEV48,1,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m2,64.705882,4,hyperTEV4;hyperTEV19;hyperTEV30;hyperTEV32,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m2,65.158371,2,hyperTEV12;hyperTEV21,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m2,65.61086,5,hyperTEV13;hyperTEV14;hyperTEV16;hyperTEV46;hyperTEV47,1,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m2,66.063348,1,hyperTEV43,0,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m2,67.420814,1,hyperTEV7,1,0.01,0.01,0.01,0.01,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m3,71.040724,2,hyperTEV51;hyperTEV84,1,0.045816580189141455,0.045816580189141455,0.045816580189141455,0.045816580189141455,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m3,71.493213,1,hyperTEV76,2,0.17204757942376492,0.17204757942376492,0.10046015345786262,0.2436350053896672,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m3,71.945701,5,hyperTEV58;hyperTEV60;hyperTEV66;hyperTEV75;hyperTEV92,4,1.5718412702937394,1.4743506818848555,0.03834197453697553,3.3003217428682707,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m3,72.39819,8,hyperTEV49;hyperTEV53;hyperTEV54;hyperTEV64;hyperTEV65;hyperTEV69;hyperTEV72;hyperTEV88,3,0.3509047764383264,0.05316878640126363,0.03070949079750195,0.9688360521162136,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m3,72.850679,10,hyperTEV50;hyperTEV55;hyperTEV59;hyperTEV61;hyperTEV68;hyperTEV74;hyperTEV83;hyperTEV90;hyperTEV91;hyperTEV96,4,0.23344956549794088,0.19947691505344367,0.10556631729086031,0.4292781145940159,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m3,73.303167,8,hyperTEV56;hyperTEV57;hyperTEV63;hyperTEV70;hyperTEV71;hyperTEV78;hyperTEV82;hyperTEV87,6,0.9427416666247913,0.20442994323947183,0.04019795830611131,4.542006253241846,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m3,73.755656,7,hyperTEV67;hyperTEV81;hyperTEV85;hyperTEV86;hyperTEV89;hyperTEV93;hyperTEV95,6,0.8997224196294685,0.19947093471776955,0.023823256878871452,3.1682224035587585,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m3,74.208145,3,hyperTEV73;hyperTEV77;hyperTEV79,3,0.08578558053116518,0.08502865332790427,0.06692860075613585,0.10539948750945538,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m3,74.660633,4,hyperTEV52;hyperTEV62;hyperTEV80;hyperTEV94,3,1.4657428643469501,0.4167754419626796,0.11347557759086283,3.8669775734873078,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m4,81.447964,1,hyperTEV134,1,0.6561269278939387,0.6561269278939387,0.6561269278939387,0.6561269278939387,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m4,81.900452,2,hyperTEV105;hyperTEV142,2,0.17660563977834856,0.17660563977834856,0.09745262267013982,0.2557586568865573,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m4,82.352941,8,hyperTEV98;hyperTEV101;hyperTEV103;hyperTEV115;hyperTEV118;hyperTEV124;hyperTEV135;hyperTEV139,4,0.4107374751183269,0.24986613366664212,0.028420572837617276,1.1147970603024062,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m4,82.80543,12,hyperTEV100;hyperTEV102;hyperTEV110;hyperTEV114;hyperTEV119;hyperTEV121;hyperTEV129;hyperTEV130;hyperTEV131;hyperTEV133;hyperTEV141;hyperTEV143,4,0.38874202795123053,0.3666129511558725,0.11126564782547528,0.7104765616677018,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m4,83.257919,8,hyperTEV99;hyperTEV107;hyperTEV117;hyperTEV122;hyperTEV126;hyperTEV127;hyperTEV132;hyperTEV138,3,0.5973025675424858,0.8015214906504118,0.02362747051412529,0.9667587414629204,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m4,83.710407,8,hyperTEV104;hyperTEV106;hyperTEV109;hyperTEV112;hyperTEV120;hyperTEV128;hyperTEV136;hyperTEV137,4,0.19745657804629452,0.08263217877700675,0.02057650323932087,0.6039854513918437,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m4,84.162896,4,hyperTEV97;hyperTEV123;hyperTEV125;hyperTEV140,1,0.03340737785925251,0.03340737785925251,0.03340737785925251,0.03340737785925251,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m4,84.615385,4,hyperTEV108;hyperTEV111;hyperTEV113;hyperTEV144,2,0.06357764098608996,0.06357764098608996,0.050338177096603674,0.07681710487557625,method_and_exact_identity_bin,False,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
apparent_rate_RFU_s,m4,85.067873,1,hyperTEV116,0,,,,,method_and_exact_identity_bin,True,Visible markers can overlap. The public figure has no design labels; within-bin design assignments are not identifiable.
